code_asset,id_item,id_shop,id_cabang,id_category_asset,id_unit,asset_name,nilai_buku,status,timestamp,user_update,keterangan
PLBK/ADJWR/KTC/250,508,2388,0,5,24,ADJUSTABLE WRENCH 250MM KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/TEKIRO/25,509,2388,0,5,24,ADJUSTABLE WRENCH 250MM TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/STANLEY/2,510,2388,0,5,24,ADJUSTABLE WRENCH 250MM STANLEY,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/KTC/300,511,2388,0,5,24,ADJUSTABLE WRENCH 300MM KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/TEKIRO/30,512,2388,0,5,24,ADJUSTABLE WRENCH 300MM TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/TEKIRO/37,513,2388,0,5,24,ADJUSTABLE WRENCH 375MM TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/KTC/375,514,2388,0,5,24,ADJUSTABLE WRENCH 375MM KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/TEKIRO/60,515,2388,0,5,24,ADJUSTABLE WRENCH 600MM TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/NN,516,2388,0,5,24,ADJUSTABLE WRENCH,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/LIPRO,517,2388,0,5,24,ADJUSTABLE WRENCH LIPRO,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/MULTIPRO,518,2388,0,5,24,ADJUSTABLE WRENCH MULTIPRO,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/FACOM,519,2388,0,5,24,ADJUSTABLE WRENCH FACOM,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/KTC,520,2388,0,5,24,ADJUSTABLE WRENCH KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/ADJWR/TEKIRO,521,2388,0,5,24,ADJUSTABLE WRENCH TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/TOXKL/TEKIRO,522,2388,0,5,24,TORX KEY LONG TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/TOXKL/TEKIRO/SE,523,2388,0,5,24,TORX KEY LONG TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/TOXKL/HIROSHI/S,524,2388,0,5,24,TORX KEY LONG HIROSHI,0,Active,11/23/2018 11:20,0,\N
PLBK/TOXKL/NN/SET,525,2388,0,5,24,TORX KEY LONG,0,Active,11/23/2018 11:20,0,\N
PLBK/BPHKL/CRV/SET,526,2388,0,5,24,BALL POINT HEX KEY LONG CRV,0,Active,11/23/2018 11:20,0,\N
PLBK/BPHKL/KTC/SET,527,2388,0,5,24,BALL POINT HEX KEY LONG KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/BPHKL/NN/SET,528,2388,0,5,24,BALL POINT HEX KEY LONG,0,Active,11/23/2018 11:20,0,\N
PLBK/BPHKL/TEKIRO/SE,529,2388,0,5,24,BALL POINT HEX KEY LONG TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/HXSCB/NN,530,2388,0,5,24,HEX SOCKET BIT,0,Active,11/23/2018 11:20,0,\N
PLBK/TQWRC/NN,531,2388,0,5,24,TORQUE WRENCH,0,Active,11/23/2018 11:20,0,\N
PLBK/TQWRC/BRITOOL,532,2388,0,5,24,TORQUE WRENCH BRITOOL,0,Active,11/23/2018 11:20,0,\N
PLBK/TQWRC/TEKIRO,533,2388,0,5,24,TORQUE WRENCH TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/TQWRC/TOHNICHI,534,2388,0,5,24,TORQUE WRENCH TOHNICHI,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/KTC/1012,535,2388,0,5,24,FLARE NUT WRENCH 10x12 KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/KTC/1417,536,2388,0,5,24,FLARE NUT WRENCH 14x17 KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/TEKIRO/10,537,2388,0,5,24,FLARE NUT WRENCH 10x12 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/TEKIRO/12,538,2388,0,5,24,FLARE NUT WRENCH 12x14 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/FACOM/121,539,2388,0,5,24,FLARE NUT WRENCH 12x14 FACOM,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/TEKIRO/14,540,2388,0,5,24,FLARE NUT WRENCH 14x17 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/OLW/1719,541,2388,0,5,24,FLARE NUT WRENCH 17x19 OLW,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/TEKIRO/08,542,2388,0,5,24,FLARE NUT WRENCH 8x10 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/FACOM/081,543,2388,0,5,24,FLARE NUT WRENCH 8x10 FACOM,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/KTC,544,2388,0,5,24,FLARE NUT WRENCH KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/FLRNT/TEKIRO/SE,545,2388,0,5,24,FLARE NUT WRENCH SET TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/4WCWR/NN,546,2388,0,5,24,4 WAY CROSS WRENCH,0,Active,11/23/2018 11:20,0,\N
PLBK/4WCWR/KRISBOW,547,2388,0,5,24,4 WAY CROSS WRENCH KRISBOW,0,Active,11/23/2018 11:20,0,\N
PLBK/4WCWR/TEKIRO,548,2388,0,5,24,4 WAY CROSS WRENCH TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/4WCWR/KTC,549,2388,0,5,24,4 WAY CROSS WRENCH KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/4WCWR/KDR,550,2388,0,5,24,4 WAY CROSS WRENCH KDR,0,Active,11/23/2018 11:20,0,\N
PLBK/OPNWR/KTC/SET,551,2388,0,5,24,OPEN END WRENCH SET KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/OPNWR/TEKIRO/SE,552,2388,0,5,24,OPEN END WRENCH SET,0,Active,11/23/2018 11:20,0,\N
PLBK/OPNWR/TEKIRO/14,553,2388,0,5,24,OPEN END WRENCH SET 14 17,0,Active,11/23/2018 11:20,0,\N
PLBK/OPNWR/TEKIRO/17,554,2388,0,5,24,OPEN END WRENCH SET 17 19,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/KAGON/10,555,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 10 KAGON,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/NN/12,556,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 12,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/TONGLITOO,557,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 12 TONGLI TOOL,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/NN/13,558,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 13,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/NN/14,559,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 14,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/NN/17,560,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 17,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/KTC/10,561,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 10 KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/KTC/11,562,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 11 KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/KTC/12,563,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 12 KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/COMWR/KTC/13,564,2388,0,5,24,COMBINATION WRENCH SUNK PANEL 13 KTC,0,Active,11/23/2018 11:20,0,\N
